name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2018-01-01,23.8,10,16.3,22.7,-1,8,3.7,58,0,0,0,,0,0,44.3,14.8,291.8,1027.6,0.3,9.9,106.3,9.2,5,,2018-01-01T07:20:10,2018-01-01T16:39:19,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-01-02,28.9,15.9,21,19.1,1.6,9.1,9.6,61.4,0,0,0,,0,0,30.5,16.8,262.9,1028,0.6,9.9,104.3,9,5,,2018-01-02T07:20:15,2018-01-02T16:40:11,0.52,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-03,32.9,17.9,24.7,30.1,5.7,16.3,10.7,55.8,0.213,100,37.5,"rain,snow",0.2,0,44.7,13.5,262.1,1024.2,2.9,9.9,91.5,7.9,4,,2018-01-03T07:20:18,2018-01-03T16:41:04,0.55,"Snow, Rain",Clear conditions throughout the day with rain or snow.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-01-04,31.8,21.8,26.7,25,14.4,19.6,19.7,75.9,0.05,100,50,"rain,snow",1,0.5,46.5,13.5,3.7,999.5,90.9,5.6,11.1,0.9,1,,2018-01-04T07:20:19,2018-01-04T16:41:58,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-05,23.7,11.8,17.1,17.2,2.9,8.5,4.9,58.8,0,0,0,,0.5,1.5,42.2,8.7,291.7,1009.2,7,9.9,110.1,9.6,5,,2018-01-05T07:20:18,2018-01-05T16:42:54,0.62,Clear,Clear conditions throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-01-06,25.3,8.9,14,17.8,-7.8,3,-0.8,51.8,0,0,0,,0.4,1.7,39.3,20.4,277,1023.2,1.3,9.9,112.7,9.7,5,,2018-01-06T07:20:14,2018-01-06T16:43:51,0.65,Clear,Clear conditions throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-07,29.2,6.1,15.4,21.5,-6.6,5.5,1.3,54.1,0,0,0,,0,1.7,36.8,17.2,249.3,1032.7,16,9.9,112.9,9.7,5,,2018-01-07T07:20:08,2018-01-07T16:44:49,0.69,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-08,30.9,17.9,25.4,22.8,3.2,15.3,15.3,65.1,0.06,100,20.83,"rain,snow",0,1.6,49.4,15.7,247.9,1022.1,62.9,9.8,49.1,4.2,3,,2018-01-08T07:20:00,2018-01-08T16:45:49,0.75,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-09,46.8,30,36.6,44.5,21.1,31.9,23.9,61.5,0.018,100,8.33,rain,0,1.4,40.3,10.3,274.7,1021.2,16.3,9.9,112,9.7,5,,2018-01-09T07:19:49,2018-01-09T16:46:50,0.75,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-10,42.9,31.9,36.5,40.9,24.8,32.7,25.3,63.9,0.084,100,4.17,rain,0,1.1,58.6,8,222.3,1030.8,25.1,9.9,108.5,9.3,5,,2018-01-10T07:19:36,2018-01-10T16:47:52,0.79,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-11,51.1,37.3,44,51.1,33.8,42,38.9,82.3,0.009,100,4.17,rain,0,0.6,48.3,8,260.6,1027.2,73.2,9.7,48.3,4.3,2,,2018-01-11T07:19:21,2018-01-11T16:48:56,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-12,60.2,46.2,55.6,60.2,42.3,55.5,54.5,96,0.372,100,45.83,rain,0,0.1,27.7,10.2,202.6,1011.8,100,6.2,11.1,1,0,,2018-01-12T07:19:04,2018-01-12T16:50:00,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-13,56.9,21.7,38.6,56.9,16.4,35,28.7,69.1,0.125,100,29.17,"rain,snow",0,0,35.9,13.4,288,1010.2,51,9.2,96.1,8.3,5,,2018-01-13T07:18:45,2018-01-13T16:51:05,0.89,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-14,29.6,17,22.5,24.3,6.4,13.7,7.3,52.5,0,0,0,,0,0,24.2,16.7,35.7,1035.4,0.3,9.9,120.3,10.4,5,,2018-01-14T07:18:23,2018-01-14T16:52:12,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-15,33,18.9,25.5,23.6,3.8,13.7,16.3,68,0,0,0,,0,0,26.4,19.1,41.7,1036.1,16.3,9.9,101.8,8.8,5,,2018-01-15T07:17:59,2018-01-15T16:53:19,0.95,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-16,37,26,31.9,34.4,16.9,25.9,26.9,81.5,0.009,100,4.17,"rain,snow",0,0,31.1,10.1,51.8,1031.1,88,9.9,43.5,3.7,2,,2018-01-16T07:17:33,2018-01-16T16:54:27,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-17,37.1,25,33.1,37.1,17.4,28,28.3,82.7,0.051,100,37.5,"rain,snow",0,0,39.1,10.2,313.9,1023.5,83.1,9.1,28.8,2.4,2,,2018-01-17T07:17:05,2018-01-17T16:55:35,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-18,32.3,20.8,26.3,24.1,11.5,18.9,11.5,54.1,0,0,0,,0,0,27.7,12.8,302.4,1017,2.5,9.9,119.2,10.4,5,,2018-01-18T07:16:35,2018-01-18T16:56:45,0.06,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-01-19,40.4,25.3,32.7,34.9,16.9,26.4,14.6,47.3,0,0,0,,0.1,0,23,11.4,258,1016.5,15.4,9.9,76.8,6.8,4,,2018-01-19T07:16:02,2018-01-19T16:57:55,0.09,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-01-20,52.6,38,44.5,52.6,31.5,40.1,23.2,42.8,0,0,0,,0,0,31.1,19.7,251.9,1012.8,17.1,9.9,127.5,11,6,,2018-01-20T07:15:28,2018-01-20T16:59:05,0.12,Clear,Clear conditions throughout the day.,clear-day,"72505394728,C9476,KLGA,KNYC,F1417,72503014732"
